2018-05-23 21:41:37,129, Controller, [ERROR]: Authenticated 2
2018-05-23 21:41:50,993, Controller, [ERROR]: Authenticated 2
2018-05-23 21:41:56,791, Controller, [ERROR]: Authenticated 2
2018-05-23 21:41:58,845, Controller, [ERROR]: Authenticated 1
2018-05-23 21:42:03,498, Controller, [ERROR]: Authenticated 1
2018-05-23 21:42:09,769, Controller, [ERROR]: Authenticated 2
2018-05-23 21:42:22,979, Controller, [ERROR]: Authenticated 2
2018-05-23 21:42:25,607, Controller, [ERROR]: Authenticated 2
2018-05-23 21:42:32,849, Controller, [ERROR]: Authenticated 2
2018-05-23 21:42:37,771, Controller, [ERROR]: Authenticated 1
2018-05-23 21:42:46,650, Controller, [ERROR]: Authenticated 1
2018-05-23 21:43:10,060, Controller, [ERROR]: Authenticated 1
2018-05-23 22:45:56,500, Controller, [ERROR]: Authenticated 1
2018-05-23 22:45:56,501, Controller, [ERROR]: Authenticated 1
2018-05-23 22:45:56,501, Controller, [ERROR]: Authenticated 1
2018-05-23 22:45:56,502, Controller, [ERROR]: Authenticated 1
2018-05-23 22:45:56,502, Controller, [ERROR]: Authenticated 1
2018-05-23 22:45:56,502, Controller, [ERROR]: Authenticated 1
2018-05-23 22:47:37,549, Controller, [ERROR]: Authenticated 1
2018-05-23 22:47:37,638, Controller, [ERROR]: Authenticated 1
2018-05-23 22:47:37,638, Controller, [ERROR]: Authenticated 1
2018-05-23 22:47:37,639, Controller, [ERROR]: Authenticated 1
2018-05-23 22:47:37,639, Controller, [ERROR]: Authenticated 1
2018-05-23 22:47:37,639, Controller, [ERROR]: Authenticated 1
2018-05-23 22:48:37,664, Controller, [ERROR]: Authenticated 1
2018-05-23 22:48:37,754, Controller, [ERROR]: Authenticated 1
2018-05-23 22:48:37,754, Controller, [ERROR]: Authenticated 1
2018-05-23 22:48:37,755, Controller, [ERROR]: Authenticated 1
2018-05-23 22:48:37,755, Controller, [ERROR]: Authenticated 1
2018-05-23 22:48:37,755, Controller, [ERROR]: Authenticated 1
2018-05-23 22:50:44,819, Controller, [ERROR]: Authenticated 1
2018-05-23 22:50:44,929, Controller, [ERROR]: Authenticated 1
2018-05-23 22:50:44,929, Controller, [ERROR]: Authenticated 1
2018-05-23 22:50:44,931, Controller, [ERROR]: Authenticated 1
2018-05-23 22:50:44,931, Controller, [ERROR]: Authenticated 1
2018-05-23 22:50:44,931, Controller, [ERROR]: Authenticated 1
2018-05-23 22:54:44,197, Controller, [ERROR]: Authenticated 1
2018-05-23 22:54:44,291, Controller, [ERROR]: Authenticated 1
2018-05-23 22:54:44,291, Controller, [ERROR]: Authenticated 1
2018-05-23 22:54:44,292, Controller, [ERROR]: Authenticated 1
2018-05-23 22:54:44,292, Controller, [ERROR]: Authenticated 1
2018-05-23 22:54:44,292, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:08,679, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:08,777, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:08,777, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:08,778, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:08,778, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:08,778, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:34,695, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:34,781, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:34,781, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:34,783, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:34,783, Controller, [ERROR]: Authenticated 1
2018-05-23 22:58:34,783, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:31,499, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:31,592, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:31,592, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:31,593, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:31,593, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:31,593, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:47,009, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:47,099, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:47,099, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:47,101, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:47,101, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:47,101, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:57,814, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:57,901, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:57,901, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:57,903, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:57,903, Controller, [ERROR]: Authenticated 1
2018-05-23 22:59:57,903, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:14,851, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:14,940, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:14,940, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:14,942, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:14,942, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:14,942, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:41,803, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:41,890, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:41,890, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:41,892, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:41,892, Controller, [ERROR]: Authenticated 1
2018-05-23 23:01:41,892, Controller, [ERROR]: Authenticated 1
2018-05-23 23:02:10,859, Controller, [ERROR]: Authenticated 1
2018-05-23 23:02:10,946, Controller, [ERROR]: Authenticated 1
2018-05-23 23:02:10,946, Controller, [ERROR]: Authenticated 1
2018-05-23 23:02:10,950, Controller, [ERROR]: Authenticated 1
2018-05-23 23:02:10,950, Controller, [ERROR]: Authenticated 1
2018-05-23 23:02:10,950, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:08,533, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:08,621, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:08,621, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:08,623, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:08,623, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:08,623, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:55,305, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:55,393, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:55,393, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:55,394, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:55,394, Controller, [ERROR]: Authenticated 1
2018-05-23 23:07:55,394, Controller, [ERROR]: Authenticated 1
2018-05-23 23:09:09,828, Controller, [ERROR]: Authenticated 1
2018-05-23 23:09:09,916, Controller, [ERROR]: Authenticated 1
2018-05-23 23:09:09,916, Controller, [ERROR]: Authenticated 1
2018-05-23 23:09:09,917, Controller, [ERROR]: Authenticated 1
2018-05-23 23:09:09,917, Controller, [ERROR]: Authenticated 1
2018-05-23 23:09:09,917, Controller, [ERROR]: Authenticated 1
2018-05-23 23:09:42,519, Controller, [ERROR]: Authenticated 1
2018-05-23 23:09:42,530, Controller, [ERROR]: Authenticated 1
2018-05-23 23:09:42,530, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:11,058, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:11,069, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:11,069, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:34,178, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:34,190, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:34,190, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:51,343, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:51,354, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:51,354, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:51,373, TaskController, [ERROR]: Wrong parent tid. Parent does not exist
2018-05-23 23:10:55,959, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:56,050, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:56,050, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:56,051, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:56,051, Controller, [ERROR]: Authenticated 1
2018-05-23 23:10:56,051, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:01,340, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:01,340, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:01,340, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:01,340, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:01,341, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:01,341, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:01,341, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:01,341, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:01,341, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:18,238, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:18,249, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:18,249, Controller, [ERROR]: Authenticated 1
2018-05-23 23:11:18,268, TaskController, [ERROR]: Wrong parent tid. Parent does not exist
2018-05-23 23:16:00,327, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:00,339, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:00,339, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:00,359, TaskController, [ERROR]: Wrong parent tid. Parent does not exist
2018-05-23 23:16:04,108, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:04,198, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:04,198, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:04,199, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:04,199, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:04,199, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:10,088, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:10,088, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:10,088, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:10,088, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:10,104, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:10,104, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:10,104, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:10,104, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:10,104, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:10,127, TaskController, [ERROR]: Wrong parent tid. Parent does not exist
2018-05-23 23:16:49,084, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:49,173, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:49,173, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:49,174, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:49,174, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:49,174, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:50,328, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:50,328, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:50,328, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:50,328, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:50,339, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:50,339, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:50,339, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:50,339, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:50,339, Controller, [ERROR]: Authenticated 1
2018-05-23 23:16:50,359, TaskController, [ERROR]: Wrong parent tid. Parent does not exist
2018-05-23 23:17:49,233, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:49,323, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:49,323, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:49,324, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:49,324, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:49,324, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:50,514, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:50,514, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:50,514, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:50,514, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:50,526, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:50,526, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:50,526, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:50,526, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:50,526, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:50,547, TaskController, [ERROR]: Wrong parent tid. Parent does not exist
2018-05-23 23:17:52,254, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:52,345, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:52,345, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:52,346, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:52,346, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:52,346, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:53,522, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:53,522, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:53,522, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:53,522, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:53,533, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:53,533, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:53,533, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:53,533, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:53,533, Controller, [ERROR]: Authenticated 1
2018-05-23 23:17:53,553, TaskController, [ERROR]: Wrong parent tid. Parent does not exist
2018-05-23 23:37:28,152, Controller, [ERROR]: Authenticated 1
2018-05-23 23:37:30,298, Controller, [ERROR]: Authenticated 1
2018-05-23 23:37:42,160, Controller, [ERROR]: Authenticated 1
2018-05-23 23:38:28,850, Controller, [ERROR]: Authenticated 1
2018-05-23 23:38:41,626, Controller, [ERROR]: Authenticated 1
2018-05-23 23:38:48,854, Controller, [ERROR]: Authenticated 1
2018-05-23 23:39:01,812, Controller, [ERROR]: Authenticated 1
2018-05-23 23:39:18,634, Controller, [ERROR]: Authenticated 1
2018-05-23 23:39:30,779, Controller, [ERROR]: Authenticated 1
2018-05-23 23:39:39,287, Controller, [ERROR]: Authenticated 1
2018-05-23 23:39:45,612, Controller, [ERROR]: Authenticated 1
2018-05-23 23:39:47,996, Controller, [ERROR]: Authenticated 1
2018-05-23 23:39:54,121, Controller, [ERROR]: Authenticated 1
2018-05-23 23:39:59,217, Controller, [ERROR]: Authenticated 2
2018-05-23 23:40:03,244, Controller, [ERROR]: Authenticated 2
2018-05-23 23:40:21,246, Controller, [ERROR]: Authenticated 2
2018-05-23 23:40:47,564, Controller, [ERROR]: Authenticated 2
2018-05-23 23:41:03,910, Controller, [ERROR]: Authenticated 1
2018-05-23 23:41:08,204, Controller, [ERROR]: Authenticated 1
2018-05-23 23:41:18,262, Controller, [ERROR]: Authenticated 1
2018-05-23 23:41:26,067, Controller, [ERROR]: Authenticated 1
2018-05-23 23:41:31,014, Controller, [ERROR]: Authenticated 2
2018-05-23 23:42:11,525, Controller, [ERROR]: Authenticated 2
2018-05-23 23:42:11,558, UserController, [ERROR]: Trying to edit task by guest
2018-05-23 23:42:33,117, Controller, [ERROR]: Authenticated 2
2018-05-23 23:42:38,326, Controller, [ERROR]: Authenticated 2
2018-05-23 23:42:47,287, Controller, [ERROR]: Authenticated 1
2018-05-23 23:42:50,363, Controller, [ERROR]: Authenticated 1
2018-05-23 23:42:55,284, Controller, [ERROR]: Authenticated 1
2018-05-23 23:43:01,748, Controller, [ERROR]: Authenticated 2
2018-05-23 23:43:12,640, Controller, [ERROR]: Authenticated 2
2018-05-23 23:43:55,350, Controller, [ERROR]: Authenticated 2
2018-05-23 23:44:15,606, Controller, [ERROR]: Authenticated 2
2018-05-23 23:44:23,476, Controller, [ERROR]: Authenticated 2
2018-05-23 23:44:27,523, Controller, [ERROR]: Authenticated 2
2018-05-23 23:44:31,941, Controller, [ERROR]: Authenticated 1
2018-05-23 23:44:56,149, Controller, [ERROR]: Authenticated 1
2018-05-23 23:45:00,596, Controller, [ERROR]: Authenticated 1
2018-05-23 23:45:11,697, Controller, [ERROR]: Authenticated 1
2018-05-23 23:45:13,277, Controller, [ERROR]: Authenticated 2
2018-05-23 23:45:18,636, Controller, [ERROR]: Authenticated 2
